regine_enhet;hovednr;name;snumber;flom_DOGN;date_DOGN;year;fraction_rain;tidspunkt;observasjoner
2;1;;20001;6.284447;27.04.1990;1990;0.242876125793592;;
2;1;;20001;6.284447;14.04.1991;1991;0.341014332965821;;
2;1;;20001;11.547069;04.05.1992;1992;0.47918742389018;;
2;1;;20001;13.134673;04.05.1993;1993;0.11939563954919;;
2;1;;20001;9.190115;10.05.1994;1994;0.000160668380462725;;
2;1;;20001;7.940846;27.05.1995;1995;0.251778568252557;;
2;1;;20001;5.705818;19.10.1996;1996;1;;
2;1;;20001;16.40497;08.05.1997;1997;0.580711620914305;;
2;1;;20001;12.402596;29.04.1998;1998;0.478034339846063;;
2;1;;20001;5.226975;28.04.1999;1999;0.00279394644935972;;
2;1;;20001;10.361597;02.05.2000;2000;0.333695389814144;;
2;1;;20001;6.603717;10.05.2001;2001;0.0101551480959097;;
2;1;;20001;7.97236;24.04.2002;2002;0.0331371545547595;;
2;1;;20001;6.261631;01.05.2002;2002;0.315739804516346;;
2;1;;20001;7.631213;07.05.2003;2003;0.293128737447817;;
2;1;;20001;8.931619;27.04.2004;2004;0.317080045095829;;
2;1;;20001;8.255469;04.11.2005;2005;0.635598439745432;;
2;1;;20001;10.382213;04.09.2006;2006;1;;
2;1;;20001;8.92697;26.04.2007;2007;0.195478543387031;;
2;1;;20001;10.732836;03.05.2008;2008;0.169055036344756;;
2;1;;20001;10.409417;30.04.2008;2008;0.0596295001747641;;
2;1;;20001;8.82314;28.04.2009;2009;0.104559681922003;;
2;1;;20001;8.644526;24.11.2009;2009;0.686007348438457;;
2;1;;20001;7.642576;25.09.2010;2010;1;;
2;1;;20001;6.840834;12.06.2010;2010;1;;
2;1;;20001;7.117255;06.09.2011;2011;1;;
2;1;;20001;8.658179;12.11.2012;2012;0.882425742574257;;
2;1;;20001;aug.91;11.05.2012;2012;0.81380477712996;;
2;1;;20001;NA;NA;;0.429650806616296;;
2;1;;20001;NA;NA;;1;;
2;15;;200015;36.523983;12.07.1918;1918;NA;;
2;15;;200015;22.234211;07.10.1919;1919;NA;;
2;15;;200015;51.862419;22.06.1920;1920;NA;;
2;15;;200015;37.756413;08.10.1921;1921;NA;;
2;15;;200015;26.73844;10.07.1922;1922;NA;;
2;15;;200015;60.236214;11.07.1923;1923;NA;;
2;15;;200015;44.391506;23.06.1924;1924;NA;;
2;15;;200015;28.718874;07.07.1925;1925;NA;;
2;15;;200015;53.462761;10.06.1926;1926;NA;;
2;15;;200015;50.298191;09.07.1927;1927;NA;;
2;15;;200015;39.019688;18.07.1928;1928;NA;;
2;15;;200015;31.892712;16.06.1929;1929;NA;;
2;15;;200015;30.807039;28.05.1930;1930;NA;;
2;15;;200015;41.640846;05.07.1931;1931;NA;;
2;15;;200015;67.631989;07.07.1932;1932;NA;;
2;15;;200015;39.019688;30.05.1933;1933;NA;;
2;15;;200015;41.640846;11.05.1934;1934;NA;;
2;15;;200015;48.732296;26.06.1935;1935;NA;;
2;15;;200015;32.758266;13.06.1936;1936;NA;;
2;15;;200015;38.003609;23.05.1937;1937;NA;;
2;15;;200015;38.003609;10.06.1938;1938;NA;;
2;15;;200015;40.859619;20.06.1939;1939;NA;;
2;15;;200015;35.30526;28.05.1940;1940;NA;;
2;15;;200015;29.208128;30.05.1941;1941;NA;;
2;15;;200015;34.013233;28.11.1942;1942;NA;;
2;15;;200015;34.013233;03.03.1943;1943;NA;;
2;11;;200011;26.782251;17.05.1931;1931;NA;;
2;11;;200011;38.28981;19.05.1932;1932;NA;;
2;11;;200011;12.926161;21.05.1933;1933;NA;;
2;11;;200011;67.440529;06.05.1934;1934;NA;;
2;11;;200011;21.61853;17.06.1935;1935;NA;;
2;11;;200011;22.243795;18.05.1936;1936;NA;;
