"";"snumber";"name";"ff1";"ff2"
"1";200001;"not enough data";NA;NA
"2";200011;"NaersjO";0.0678820906337421;0.999174639236927
"3";200013;"Nedre Sjodalsvatn";NA;NA
"4";200028;"Aulestad";0.190332411198708;0.282387336908754
"5";200032;"AtnasjO";0.855638529509724;0.810921009022395
"6";200036;"not enough data";NA;NA
"7";200061;"not enough data";NA;NA
"8";200122;"Skarnes";0.509951288900968;0.813551475408002
"9";200129;"DOlplass";0.384249721526975;0.954970893911676
"10";200132;"LomnnesjO";NA;NA
"11";200142;"Knappom";0.666621510511285;0.73858271072162
"12";200145;"BaattstO";0.224371886896261;0.962614426780191
"13";200235;"not enough data";NA;NA
"14";200265;"Unsetaaa";NA;NA
"15";200267;"Mistra bru";NA;NA
"16";200268;"Akslen";0.761213594270025;0.811889745709361
"17";200275;"Liavatn";NA;NA
"18";200279;"Kraakfoss";NA;NA
"19";200280;"Kringlerdal";NA;NA
"20";200284;"Saelatunga";NA;NA
"21";200290;"Brustuen";NA;NA
"22";200291;"Tora";NA;NA
"23";200323;"Fura";NA;NA
"24";200331;"not enough data";NA;NA
"25";200415;"not enough data";NA;NA
"26";200439;"Kvarstadseter";NA;NA
"27";200451;"not enough data";NA;NA
"28";200457;"not enough data";NA;NA
"29";200463;"not enough data";NA;NA
"30";200464;"not enough data";NA;NA
"31";200465;"not enough data";NA;NA
"32";200479;"not enough data";NA;NA
"33";200578;"not enough data";NA;NA
"34";200590;"not enough data";NA;NA
"35";200592;"not enough data";NA;NA
"36";200595;"not enough data";NA;NA
"37";200604;"Elverum";0.754921888063657;0.943936906594993
"38";200607;"VaalaasjO";NA;NA
"39";200614;"Rosten";0.785468677328053;0.520855625659282
"40";200616;"Kuggerud";NA;NA
"41";200633;"Stortorp";NA;NA
"42";200634;"not enough data";NA;NA
"43";201036;"not enough data";NA;NA
"44";300022;"HOgfoss";NA;NA
"45";600010;"Gryta";NA;NA
"46";800002;"BjOrnegaardssvingen";NA;NA
"47";800006;"Saeternbekken";NA;NA
"48";1100004;"Elgtjern";NA;NA
"49";1100005;"not enough data";NA;NA
"50";1100006;"not enough data";NA;NA
"51";1200008;"not enough data";NA;NA
"52";1200013;"Rysna";NA;NA
"53";1200070;"Etna";0.455047751761905;0.986766326791656
"54";1200097;"Bergheim";0.217479275748956;0.716192090002676
"55";1200099;"Skaalfoss";NA;NA
"56";1200113;"Kraakefjord ndf.";NA;NA
"57";1200114;"Garhammerfoss";NA;NA
"58";1200137;"Gjerdeslaatta";0.0155747632205294;0.994688928626324
"59";1200150;"Buvatn";NA;NA
"60";1200171;"HOlervatn";NA;NA
"61";1200178;"Eggedal";NA;NA
"62";1200188;"Langtjernbekk";NA;NA
"63";1200193;"Fiskum";NA;NA
"64";1200197;"Grunke";NA;NA
"65";1200200;"KolbjOrnshus";NA;NA
"66";1200207;"Vinde-elv";NA;NA
"67";1200209;"not enough data";NA;NA
"68";1200212;"not enough data";NA;NA
"69";1200215;"not enough data";NA;NA
"70";1200286;"Jaren ndf.";0.194886567011129;0.922791024392718
"71";1500021;"Jondalselv";0.0290159508088825;0.990030840345401
"72";1500049;"Jalledalsvatn";NA;NA
"73";1500053;"Borgaai";NA;NA
"74";1500079;"Orsjoren";NA;NA
"75";1500174;"not enough data";NA;NA
"76";1600010;"Omnesfoss";NA;NA
"77";1600051;"Hagadrag";0.927366143164141;0.198222202531065
"78";1600066;"Grosettjern";0.0301728850215696;0.9989319580896
"79";1600075;"Tannsvatn (Lognvikvatnet)";NA;NA
"80";1600122;"Grovaai";NA;NA
"81";1600127;"not enough data";NA;NA
"82";1600132;"Gjuvaa";NA;NA
"83";1600140;"not enough data";NA;NA
"84";1600189;"not enough data";NA;NA
"85";1600193;"HOrte";NA;NA
"86";1600194;"Kilen";NA;NA
"87";1800004;"not enough data";NA;NA
"88";1800010;"Gjerstad";NA;NA
"89";1800011;"Tjellingtjernbekk";NA;NA
"90";1900063;"not enough data";NA;NA
"91";1900073;"Kilaai bru";NA;NA
"92";1900078;"not enough data";NA;NA
"93";1900079;"Gravaa";NA;NA
"94";1900080;"Stigvassaai";NA;NA
"95";1900082;"Rauaana";NA;NA
"96";1900096;"Storgama ovf.";NA;NA
"97";1900104;"Sognedalsaai";NA;NA
"98";1900107;"not enough data";NA;NA
"99";2000002;"Austenaa";0.823665987810421;0.0354060264006123
"100";2000003;"Flaksvatn";0.843320402146396;0.1564920997422
"101";2000011;"Tveitdalen";NA;NA
"102";2200004;"KjOlemo";0.167978315813383;0.245423968662929
"103";2200016;"Myglevatn ndf.";0.920240953648502;0.438342681675804
"104";2200020;"Haaverstad";NA;NA
"105";2200022;"SOgne";NA;NA
"106";2400008;"MOska (Skolandsvatnet)";NA;NA
"107";2400009;"Tingvatn (Lygne)";0.00292330492496062;0.999995571710649
"108";2500007;"Refsti";0.831298265843612;0.857084364548713
"109";2500030;"Stegemoen";NA;NA
"110";2600005;"Dorgefoss";NA;NA
"111";2600020;"aardal";NA;NA
"112";2600021;"Sandvatn";NA;NA
"113";2600026;"Jogla";NA;NA
"114";2600029;"Refsvatn";NA;NA
"115";2600064;"not enough data";NA;NA
"116";2700015;"not enough data";NA;NA
"117";2700016;"not enough data";NA;NA
"118";2700024;"Helleland";NA;NA
"119";2700025;"not enough data";NA;NA
"120";2700042;"not enough data";NA;NA
"121";2800007;"Haugland";0.392570941627137;0.973384733510273
"122";NA;"NO DATA";NA;NA
"123";NA;"NO DATA";NA;NA
"124";2900007;"not enough data";NA;NA
"125";3200006;"Liarvatn ndf.";0.802520381829037;0.210996972137307
"126";3300010;"not enough data";NA;NA
"127";3500002;"Hauge bru";0.955553774274595;0.290155668789096
"128";3500009;"Osali (Botnavatnet)";NA;NA
"129";3500016;"not enough data";NA;NA
"130";3600011;"Straapa";0.612126844158937;0.386537671959968
"131";3600013;"Grimsvatn";NA;NA
"132";3600032;"not enough data";NA;NA
"133";3600034;"not enough data";NA;NA
"134";3700027;"not enough data";NA;NA
"135";3800001;"Holmen";NA;NA
"136";3900001;"Tysvaer";NA;NA
"137";3900002;"not enough data";NA;NA
"138";4100001;"Stordalsvatn";0.999908380189677;0.208537936962617
"139";4200002;"Fjellhaugvatn";NA;NA
"140";4200016;"not enough data";NA;NA
"141";4600004;"Bondhus";NA;NA
"142";4600009;"FOnnerdalsvatn";NA;NA
"143";4800001;"Sandvenvatn";0.915943679591436;0.516458842822828
"144";4800005;"Reinsnosvatn";0.279545906176594;0.844390989306434
"145";5000001;"HOlen";0.155267368797962;0.999999952889451
"146";5000003;"Eidfjordvatn";0.509553329708372;0.336432117760334
"147";5500004;"ROykenes";0.350089073613741;0.999645092852274
"148";5500005;"Dyrdalsvatn";NA;NA
"149";5500007;"Eikelandsosen";NA;NA
"150";6100008;"not enough data";NA;NA
"151";6100013;"not enough data";NA;NA
"152";6200005;"Bulken (Vangsvatnet)";0.968300721175825;0.572407183725518
"153";6200010;"not enough data";NA;NA
"154";6200014;"Slondalsvatn";NA;NA
"155";6200015;"Kinne";NA;NA
"156";6200018;"not enough data";NA;NA
"157";6300012;"not enough data";NA;NA
"158";6400006;"not enough data";NA;NA
"159";6800002;"Havelandselv";NA;NA
"160";7000007;"not enough data";NA;NA
"161";7000008;"not enough data";NA;NA
"162";7100001;"Skjerping";NA;NA
"163";7200005;"Brekke bru";0.479396916918942;0.965623202808617
"164";7200007;"Vassbygdvatn";0.254121727431096;0.92264552086907
"165";7300001;"Lo bru";0.106827409898069;0.676742446071593
"166";7300004;"Saelthun";NA;NA
"167";7300021;"Frostdalen";NA;NA
"168";7300027;"Sula";NA;NA
"169";7400001;"aardalsvatn";0.089218649988017;0.736390768666439
"170";7400018;"not enough data";NA;NA
"171";7500022;"Gilja";NA;NA
"172";7500023;"Krokenelv";NA;NA
"173";7500028;"Feigumfoss";NA;NA
"174";7600005;"Nigardsbrevatn(NigardsjOen)";NA;NA
"175";7600010;"Myklemyr";NA;NA
"176";7600011;"VigdOla";NA;NA
"177";7600014;"not enough data";NA;NA
"178";7600015;"not enough data";NA;NA
"179";7700003;"Sogndalsvatn";NA;NA
"180";7700020;"not enough data";NA;NA
