regine_enhet;hovednr;name;snumber;tidspunkt;observasjoner;flom_DOGN;date_DOGN;year;flom_TIME;date_TIME;sameflood;aarsmax_time;aarsmax_dogn;timeDAILY;daily_smaller;start_findata;use_station;unreg_start;unreg_end;remove_years
2;1;Haadammen;200001;19900427;365;6.284447;1990-04-27;1990;6.284447;1990-04-27 12:00:00;TRUE;TRUE;TRUE;1990-04-27;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19910414;365;6.284447;1991-04-14;1991;6.284447;1991-04-14 12:00:00;TRUE;TRUE;TRUE;1991-04-14;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19920504;366;11.547069;1992-05-04;1992;11.547069;1992-05-04 12:00:00;TRUE;TRUE;TRUE;1992-05-04;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19930504;365;13.134673;1993-05-04;1993;13.134673;1993-05-04 12:00:00;TRUE;TRUE;TRUE;1993-05-04;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19940510;365;9.190115;1994-05-10;1994;9.190115;1994-05-10 12:00:00;TRUE;TRUE;TRUE;1994-05-10;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19950527;365;7.940846;1995-05-27;1995;7.940846;1995-05-27 12:00:00;TRUE;TRUE;TRUE;1995-05-27;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19961019;366;5.705818;1996-10-19;1996;7.747026;1996-10-19 11:59:00;TRUE;TRUE;TRUE;1996-10-19;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19970508;365;16.40497;1997-05-08;1997;16.40497;1997-05-08 12:00:00;TRUE;TRUE;TRUE;1997-05-08;NA;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19980429;365;12.402596;1998-04-29;1998;13.409075;1998-04-29 09:00:00;TRUE;TRUE;TRUE;1998-04-29;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;19990428;365;5.226975;1999-04-28;1999;5.620767;1999-04-29 01:00:00;TRUE;TRUE;TRUE;1999-04-29;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20000502;366;10.361597;2000-05-02;2000;12.061851;2000-05-02 04:00:00;TRUE;TRUE;TRUE;2000-05-02;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20010510;365;6.603717;2001-05-10;2001;7.550856;2001-05-10 01:00:00;TRUE;TRUE;TRUE;2001-05-10;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20020424;365;7.97236;2002-04-24;2002;9.19035;NA;FALSE;FALSE;TRUE;NA;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20020424;365;6.261631;2002-05-01;2002;9.633746;2002-05-01 21:00:00;FALSE;TRUE;FALSE;2002-05-01;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20030507;365;6.452024;2003-05-07;2003;7.360543;2003-05-07 03:00:00;TRUE;TRUE;TRUE;2003-05-07;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20040427;366;7.602515;2004-04-27;2004;8.550522;2004-04-27 03:00:00;TRUE;TRUE;TRUE;2004-04-27;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20051104;365;7.003998;2005-11-04;2005;9.633615;2005-11-04 18:00:00;TRUE;TRUE;TRUE;2005-11-04;TRUE;1996;TRUE;NA;NA;FALSE
2;1;Haadammen;200001;20060904;365;8.888352;2006-09-04;2006;11.047741;2006-09-04 07:00:00;TRUE;TRUE;TRUE;2006-09-04;TRUE;1996;TRUE;NA;NA;FALSE
