regine_area	main_no	utm_east_z33	utm_north_z33	latitude	longitude
1	3	310328	6598678	59.4835701	11.65063
1	14	303173	6561715	59.14894104	11.5582304
1	15	298887	6559841	59.13014984	11.48515987
1	37	299905	6533237	58.89213943	11.52705956
1	42	308715	6581952	59.332901	11.63712025
1	43	310848	6561073	59.1466713	11.69272995
1	45	313207	6631556	59.77960968	11.67230034
1	46	307685	6624928	59.71767044	11.5802002
1	47	310527	6598660	59.48350143	11.65415001
1	48	310319	6598578	59.48266983	11.65056038
1	48	310319	6598578	59.48266983	11.65056038
1	48	310319	6598578	59.48266983	11.65056038
1	48	310319	6598578	59.48266983	11.65056038
1	48	310319	6598578	59.48266983	11.65056038
1	49	303060	6561574	59.14762878	11.55638027
1	49	303060	6561574	59.14762878	11.55638027
1	49	303060	6561574	59.14762878	11.55638027
1	49	303060	6561574	59.14762878	11.55638027
1	50	296460	6559658	59.12734985	11.44301033
1	50	296460	6559658	59.12734985	11.44301033
1	50	296460	6559658	59.12734985	11.44301033
1	50	296460	6559658	59.12734985	11.44301033
1	50	296460	6559658	59.12734985	11.44301033
1	50	296460	6559658	59.12734985	11.44301033
1	51	305731	6639918	59.85112	11.5316
1	52	298647	6626049	59.72343826	11.41876984
1	53	305066	6555970	59.09832001	11.59636974
1	200	306146	6647624	59.92037964	11.53180027
1	200	306146	6647624	59.92037964	11.53180027
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	1	339180	6772548	61.05477142	12.02073002
2	2	336930	6693048	60.34104156	12.04529953
2	2	336930	6693048	60.34104156	12.04529953
2	2	336930	6693048	60.34104156	12.04529953
2	2	336930	6693048	60.34104156	12.04529953
2	8	257412	6742876	60.74734879	10.54771042
2	10	281650	6676813	60.16962051	11.0636301
2	10	281650	6676813	60.16962051	11.0636301
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	11	317821	6919394	62.3613205	11.47877979
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	12	177943	6838879	61.54837036	8.934510231
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	13	177672	6840237	61.5602684	8.927069664
2	14	305577	6812994	61.40201187	11.35785961
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	15	115094	6896570	62.0046196	7.638810158
2	17	293682	6657636	60.00405121	11.29932022
2	17	293682	6657636	60.00405121	11.29932022
2	17	293682	6657636	60.00405121	11.29932022
2	17	293682	6657636	60.00405121	11.29932022
2	17	293682	6657636	60.00405121	11.29932022
2	17	293682	6657636	60.00405121	11.29932022
2	17	293682	6657636	60.00405121	11.29932022
2	18	293972	6658614	60.01295853	11.30352974
2	21	152096	6863867	61.74880981	8.403849602
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	25	198571	6867140	61.81747818	9.273940086
2	27	246113	6795993	61.21559906	10.27089024
2	27	246113	6795993	61.21559906	10.27089024
2	28	246027	6795979	61.21541977	10.26931953
2	28	246027	6795979	61.21541977	10.26931953
2	28	246027	6795979	61.21541977	10.26931953
2	28	246027	6795979	61.21541977	10.26931953
2	28	246027	6795979	61.21541977	10.26931953
