COMPOUND_K;FELTNR;STATION_NA;AREAL_NOR;AREAL_UTM3;GRAD_1085;GRAD_FELT;GRAD_ELV;HEIGHT_MIN;HEIGHT_10;HEIGHT_20;HEIGHT_30;HEIGHT_40;HEIGHT_50;HEIGHT_60;HEIGHT_70;HEIGHT_80;HEIGHT_90;HEIGHT_MAX;FELT_LE_KM;ELV_LE_KM;JORDBRUKPR;MYRPRO;EFF_MYR;EFF_SJO;SKOGPRO;BREPRO;SJOPRO;SNAUFJPRO;URBANPRO
11700005000;1618;Blåskogvatn;37.992;37.99;6.25;14.06;9.24;31;42;57;65;73;78;82;89;97;121;299;9.65;13.01;0.39;29.36;0;4.9;36.8;0;10.74;1.56;0
7800005000;1360;Jorddalsvatnet;2.28;2.28;146.87;63.17;214.64;884;921;1006;1097;1174;1228;1265;1304;1347;1406;1507;1.82;1.31;0;0;0;4.79;0;19.3;4.39;76.32;0
19000002000;2063;Storfossen;52.693;52.69;14.83;54.23;28.75;194;258;282;328;375;438;511;596;697;800;1328;8.62;13.22;0.83;6.71;0;1.27;37.88;0;5.82;41.9;0
16000002000;1903;Fykanvatn;315.68;315.68;16.9;22.2;24.27;92;585;585;643;731;822;944;1050;1139;1221;1625;22.86;28.01;0;0.03;0;12.46;0.54;34.28;17.69;46.22;0
8600020000;1457;X-Vatn;8.96;8.96;47.43;35.55;92.08;936;939;1017;1100;1173;1226;1305;1350;1395;1440;1614;4.63;2.61;0;0;0;9.87;0;36.94;9.49;53.46;0
1600034000;624;Totak;855.47;855.47;25.52;22.6;26.8;687;779;913;974;1059;1130;1190;1254;1309;1381;1628;62.03;2.3;0.63;5.34;0;22.28;20.01;0;12.71;59.54;0.06
16200001000;1931;Oldereidvatn;49.93;49.93;24.9;0;32.35;41;320;388;398;400;422;450;492;564;655;1113;12.62;17.99;0.04;4.23;0;9.11;48.67;0.28;16.76;25.96;0
16000007000;1907;Skauvoll;19.66;19.66;22.3;36.6;48.81;236;375;389;407;429;458;486;529;617;758;1060;11.03;11.3;0;0;0;1.49;12.18;0;7.83;58.41;0
24600004000;2211;Lille Ropelvvatn;48.87;48.87;2.31;0;8.15;52;56;56;67;85;100;119;137;156;182;267;10.24;13.86;0;3.66;0;17.97;33.31;0;27.24;21.01;0
19400001000;2068;Lysevatn;129.68;129.68;13.12;30.45;14.43;22;62;140;207;237;292;344;407;493;608;971;13.25;18.8;0.22;7.44;0;4.32;34.11;0;11;43.83;0
3600034000;2264;Prestvika;2.489;2.49;0;0;0;67;86;127;171;261;370;499;658;828;943;1095;69.74;92.79;5.35;0;0;-999;45.27;0;0;29.22;1.65
4100007000;1060;Blomstølvatn;25.64;25.64;35.87;34.27;44.31;628;721;804;804;895;922;954;999;1059;1134;1134;6.95;9.85;0;0.47;0;1.91;0;0;7.75;91.71;0
15600013000;1864;Bjørnfoss;306.1;306.1;22.83;0;25.36;73;441;644;741;838;924;998;1069;1145;1221;1565;35.84;40.99;0;0.11;0;0.13;7.61;20.39;1.39;65.9;0
31300003000;2249;Magnor;359.105;362.87;-999;0;-999;127;156;177;196;217;239;266;298;320;350;458;29.66;-999;7.61;5.2;0;0.34;80.27;0;4;0;0.55
200413000;241;Stokkelva;228.72;228.72;14.65;13.67;15.75;151;385;444;491;522;544;572;600;638;688;950;32.07;43.8;8.47;9.21;0;0.27;77.74;0;1.3;0;0.01
1500018000;564;Bommestad Bru;5535.49;5535.49;4.3;17.07;3.86;7;191;378;525;726;871;1018;1136;1206;1255;1537;210.92;365.8;3.2;4.99;0;0.43;49.66;0;6.64;31.86;0.22
12200013000;1663;Økdalsmo Bru;111.7;111.7;18.16;0;16.96;439;541;606;626;653;694;749;823;916;983;1233;23.09;31.28;3.19;17.7;0;0.01;49.81;0;0.62;26.74;0.02
200274000;165;Einunna;572;572;4.43;16.84;8.05;739;950;1021;1062;1102;1142;1184;1230;1289;1364;1689;43.86;63.46;0.28;10.99;0;0.9;5.61;0;3.47;71.05;0
