COMPOUND_K;FELTNR;STATION_NA;AREAL_NOR;AREAL_UTM3;GRAD_1085;GRAD_FELT;GRAD_ELV;HEIGHT_MIN;HEIGHT_10;HEIGHT_20;HEIGHT_30;HEIGHT_40;HEIGHT_50;HEIGHT_60;HEIGHT_70;HEIGHT_80;HEIGHT_90;HEIGHT_MAX;FELT_LE_KM;ELV_LE_KM;JORDBRUKPR;MYRPRO;EFF_MYR;EFF_SJO;SKOGPRO;BREPRO;SJOPRO;SNAUFJPRO;URBANPRO;latitude;longitude;utm_east_z33;utm_north_z33
2200022000;846;Søgne;203.58;203.58;6.54;24.21;7.13;6;57;108;144;173;198;224;250;278;311;485;29.63;50.35;4.99;5.99;0;0.09;81.51;0;3.88;0.11;1;58.09098053;7.835107803;78051;6461281
2200004000;831;Kjølemo;1757.7;1757.7;44.27;24.14;33.26;10;218;288;367;455;560;678;767;836;904;1160;102.17;6.42;1.28;6.15;0;0.38;47.14;0;7.88;33.02;0.04;58.12024307;7.528130054;60379;6466492
2400008000;860;Møska;121.41;121.41;14.61;29.33;17.98;8;221;260;288;308;325;343;369;400;454;613;19.54;30.49;0.97;3.08;0;1.71;76.92;0;9.04;8.44;0;58.16056442;7.066228867;33807;6474075
2500007000;869;Refsti;202.68;202.68;8.8;31.29;12.88;27;151;195;223;253;290;321;348;381;426;596;26.73;33.52;2.79;4.34;0;1.88;76.16;0;9.8;4.97;0.01;58.27428818;6.822276115;21055;6488397
2600008000;919;Lundevatn;1899.71;1899.71;7.6;30.6;7.44;49;255;400;505;596;693;775;850;921;1035;1420;116.37;149.16;1.04;1.52;0;2.66;22.88;0;12.26;56.06;0.1;58.31302643;6.49450922;2467;6495075
2000003000;777;Flaksvatn;1780.66;1780.66;7.06;22.36;6.72;19;197;229;261;300;354;434;520;616;741;1146;96.69;129.69;0.76;7.85;0;0.6;74.44;0;7.64;5.92;0.07;58.33046341;8.203061104;102367;6485613
2600029000;908;Refsvatn;52.95;52.95;18.38;38.24;20.38;35;174;223;240;266;297;329;355;387;428;545;12.99;16.67;1.59;1.08;0;1;22.7;0;9.3;58.68;0;58.35037613;6.344214916;-5758;6500337
2500030000;863;Stegemoen;1147.61;1147.61;7.46;25.69;8.94;123;386;557;698;785;847;896;936;1015;1106;1431;98.44;138.79;0.57;2.1;0;1.91;15.3;0;13.3;65.16;0.01;58.36577606;6.956398964;30106;6497589
2600064000;920;Rekedalselv;10.11;10.11;3.41;34.05;15.72;107;140;161;176;189;205;221;237;253;266;311;4.63;5.49;1.19;2.27;0;1.4;37.88;0;7.02;47.58;0;58.37135315;6.250346184;-10919;6503373
2400009000;861;Tingvatn;272.16;272.16;12.2;27.31;14.8;185;318;426;486;540;588;623;660;707;767;964;30.26;42.95;1.15;6.13;0;3.12;37.08;0;9.51;36.52;0.03;58.40113831;7.223348141;46112;6499670
2600007000;888;Sirdalsvatn;1528.16;1528.16;9.23;29.86;8.18;50;386;535;633;708;774;833;899;960;1065;1421;100.13;122.61;0.66;1.5;0;1.79;17.87;0;11.7;63.44;0.02;58.42679214;6.666283131;14055;6506420
1900107000;770;Lilleelv;39.32;39.32;3.9;15.91;7.9;17;41;54;65;78;86;96;105;117;131;205;13.96;17.59;4.05;1.61;0;2.05;87.66;0;5.09;0;0.46;58.43535614;8.702689171;132635;6494410
2200016000;840;Myglevatn ndf.;182.2;182.2;6.23;20.51;11.26;252;336;371;399;424;447;471;499;525;571;741;23.75;37.55;0.39;12.07;0;1.53;63.59;0;5.5;10.98;0;58.44588852;7.584990978;67715;6502242
2700042000;2309;Slevelandsåna;5.42;5.42;-999;0;-999;51;73;78;86;96;108;121;133;143;158;227;4.15;-999;10.15;1.85;0;0.34;35.06;0;1.29;20.48;0;58.48777771;6.033732891;-21789;6517935
2600021000;900;Sandvatn;27.5;27.5;17.88;25.02;14.41;306;345;384;428;443;470;493;517;544;571;647;6.27;14.13;1.38;8.8;0;2.44;44.51;0;10.04;34.87;0;58.4896698;6.773128986;21124;6512618
2500008000;870;Mygland;46.93;46.93;10.87;29.08;19.32;329;437;469;501;529;555;583;621;677;729;876;16.3;20.49;0.43;8.82;0;0.47;15.98;0;5.11;30.11;0;58.51194763;7.020081043;35750;6513347
2700024000;939;Helleland;184.72;184.72;15.16;35.71;16.98;86;184;215;315;401;489;543;592;636;683;904;27.36;34.56;4.08;1.12;0;1.15;22.62;0;8.35;48.35;0.03;58.53359985;6.150288105;-14357;6522106
2600020000;899;Årdal;77.25;77.25;23.37;35.58;32.05;113;245;340;402;449;478;505;534;568;602;748;13.08;17.69;2.16;2.24;0;2.27;38.08;0;8.98;24.64;0;58.54366684;6.497912884;5920;6520601
2700025000;940;Gjedlakleiv;635.15;635.15;13.59;36.96;13.5;49;185;269;342;433;527;613;673;726;788;1011;48.65;58.73;2.63;0.87;0;1.48;17.48;0;12.3;52.94;0.07;58.5734024;6.066195011;-18636;6527163
2200005000;832;Austerhus;413.48;413.48;10.92;27.01;12.73;261;485;554;608;663;717;770;825;882;940;1160;46.85;69.35;0.66;4.93;0;0.63;40.55;0;7.41;41.89;0.02;58.61302567;7.42061615;60261;6521849
1800004000;714;Lundevatn;407.75;407.75;-999;20.77;-999;1;100;142;175;189;204;226;251;281;329;506;27.38;-999;1.9;4.59;0;2.24;83.56;0;8.77;0;0.07;58.66829681;8.977776527;150984;6518807
2700015000;931;Austrumdal;60.85;60.85;20.6;39;20.99;309;435;546;596;629;659;680;704;739;788;933;16.04;24.14;0.26;1.18;0;5.48;11.36;0;13.18;66.92;0;58.68186188;6.23082304;-7531;6537908
2700016000;932;Bjordal;123.81;123.81;-999;37.51;-999;212;519;603;650;688;719;743;769;798;829;965;16.51;-999;0.06;1.34;0;0.31;9.09;0;9.04;73.05;0;58.68575668;6.492358208;7608;6536382
2800007000;949;Haugland;139.35;139.35;10.25;15.81;9.3;16;61;97;115;152;178;209;244;264;301;432;17.31;27.31;20.18;1.35;0;0.43;7.15;0;6.11;61.26;0.19;58.69290924;5.647571087;-40981;6543711
1900080000;752;Stigvassåi;14.49;14.49;11.9;21.83;31.5;148;187;208;225;241;263;283;304;325;356;429;6;7.11;1.22;4.37;0;0.24;91.4;0;1.79;0;0;58.74980927;8.51558876;125128;6530359
2600006000;887;Lindeland;962.94;962.94;9.74;28.36;9.89;238;660;723;783;835;887;918;970;1034;1121;1421;62.4;82.02;0.38;0.77;0;1.27;10.27;0;12;73.6;0;58.76689148;6.743857861;23231;6543546
2000002000;776;Austenå;276.42;276.42;11.44;22.42;13.23;228;602;666;708;738;763;792;819;852;895;1146;41.58;52.78;0.07;5.59;0;1.61;61.87;0;11.9;20.28;0;58.83963394;8.100524902;102216;6542728
2600005000;886;Dorgefoss;808.53;808.53;6.61;27.02;9.28;463;685;764;824;877;906;948;998;1058;1139;1420;51.64;74.85;0.27;0.79;0;1.81;8.17;0;12.97;75.23;0.02;58.8594017;6.790644169;27190;6553464
2500002000;864;Kvinen;481.9;481.9;5.44;22.76;10.81;715;842;897;932;960;1003;1036;1075;1128;1204;1430;42.29;61.96;0;0.64;0;9.87;0.3;0;18.2;80.84;0;58.87005997;7.067547798;43230;6552716
2900007000;958;Gramstaddalen;0.995;1;232.93;32.9;91.73;96;162;174;179;187;200;212;212;238;261;341;0;0.8;0;6.52;0;0;69.57;0;0;22.83;0;58.88154221;5.786897182;-30058;6563467
1800010000;718;Gjerstad;236.23;236.23;-999;23.43;-999;50;148;197;237;274;313;346;380;415;473;657;21.15;-999;1.4;4.87;0;0.19;81.76;0;3.45;2.9;0.07;58.88360596;9.03327179;156332;6542433
1800011000;719;Tjellingtjernbekk;1.95;1.95;-999;22.04;74;223;254;281;317;354;377;393;412;441;458;499;2.4;1.67;0;0;0;1.53;51.28;0;0;0;0;58.93208313;8.859376907;146830;6548724
2600004000;885;Fidjelandsvatn;643.06;643.06;8.47;26.62;8.79;566;733;818;878;903;938;981;1027;1085;1160;1420;41.13;55.16;0;0.62;0;2.45;6.53;0;13.53;76.81;0;58.95141983;6.926516056;36229;6562707
1900082000;753;Rauåna;8.929;8.93;25.79;35.94;29.66;222;289;313;345;371;396;396;447;488;537;760;6.75;6.99;0.34;2.24;0;0;90.71;0;0.11;1.23;0;58.96851349;8.508176804;127065;6554680
1900073000;747;Kilåi Bru;64.373;64.37;21.58;21.95;26.68;273;576;596;621;644;667;697;733;759;795;924;11.02;18.76;0;5.16;0;2.38;55.55;0;9.26;13.78;0;59.00203705;8.299213409;115460;6559587
3200006000;978;Liarvatn;55.85;55.85;44.57;33.72;83.03;300;417;470;517;558;601;620;652;688;726;849;11.11;3.14;0;0.7;0;4.2;27.45;0;14.13;53.59;0;59.04922867;6.118229866;-8583;6579444
1900096000;763;Storgama ovf.;0.523;0.52;25.07;20.23;26.07;581;590;598;606;607;610;615;623;633;645;680;1.12;0.95;0;1.92;0;4.71;23.08;0;11.54;61.54;0;59.05231476;8.65362072;136291;6563180
3100002000;970;Lysedalen;47.06;47.06;61.62;43.82;59.1;78;610;761;833;875;899;925;951;951;1013;1109;11.55;14.1;0;0.02;0;0.84;7.77;0;7.01;84.64;0;59.06354523;6.703454971;25011;6576704
1900076000;748;Tovsliøytjønn;116.05;116.05;159.82;22.55;126.75;536;624;663;696;715;739;768;802;848;896;1003;12.97;0.61;0.14;6.14;0;3.05;60.46;0;13.37;18.88;0;59.06933594;8.011397362;99766;6568750
1500174000;2385;Istreelva vannstand;25.58;25.58;2.59;0;3.38;10;21;25;30;34;36;39;44;52;65;113;6.36;10.82;49.41;1.21;0;0.03;44.21;0;0.47;0;1.84;59.07536316;10.18259525;223988;6558407
2600015000;894;Svartevatn;208.85;208.85;2.72;23.98;10.07;754;899;921;966;1010;1051;1087;1125;1168;1222;1421;22.02;29.59;0;0.01;0;15.04;0.17;0;21.7;77.46;0;59.1220932;6.897863865;36897;6581821
3300002000;983;Tveid;512.31;512.31;21.11;32.61;23.94;46;472;636;731;805;877;934;990;1045;1100;1269;38.52;47.7;0.4;0.62;0;1.37;9.37;0;13.75;70.72;0.01;59.1341629;6.245946884;-55;6587880
3300011000;990;Bergeland;154.66;154.66;31.83;40.35;28.43;66;217;513;669;775;842;889;927;988;1040;1154;31.2;34.85;0.11;0.23;0;6.35;14.67;0;12.17;67.92;0;59.1358757;6.26329422;958;6587939
2500024000;879;Gjuvvatn;96.82;96.82;15.78;24.27;20.48;950;1020;1041;1074;1106;1139;1175;1219;1271;1314;1431;12.7;20.61;0;0.19;0;6.96;0;0;16.4;83.31;0;59.15917587;7.214805126;55441;6583769
1900078000;750;Grytå;19.31;19.31;21.46;23.14;29.75;625;662;707;752;774;789;814;837;865;896;1007;6.59;8.35;0;2.24;0;5.6;37.02;0;14.85;42.31;0;59.17243958;8.344135284;119926;6578243
3300010000;989;Sandvatn;70.4;70.4;30.58;22.92;23.45;849;955;1003;1030;1058;1083;1108;1134;1157;1191;1269;11.76;9.59;0;0.03;0;1.9;0;0;12.32;87.67;0;59.18209076;6.704697132;26725;6589830
1500062000;594;Hagnes;242.39;242.39;2.4;19.07;2.55;18;47;63;78;91;103;122;150;184;246;449;22.47;37.82;16.81;0.8;0;0.79;77.58;0;2.4;0;0.36;59.19249344;10.08644009;219446;6571829
1900063000;742;Finndøla;387.87;387.87;11.44;24.72;19.42;293;614;699;745;789;836;878;915;968;1038;1280;29.34;48.71;0.22;4.74;0;1.67;57.4;0;11.47;24.27;0;59.22967911;8.076856613;105361;6586151
1900079000;751;Gravå;6.31;6.31;108.57;25.58;105.4;362;503;559;605;615;659;735;805;876;933;1063;4.53;5.57;3.8;4.6;0;0.03;69.41;0;0.32;17.27;0;59.23484421;8.036405563;103121;6586966
3500016000;1003;Djupadalsvatn;45.34;45.34;38.79;25.65;35.23;338;386;456;522;589;626;681;736;787;894;1128;13.2;20.22;0;3.79;0;3.54;33.08;0;10;46.1;0;59.28070068;6.380723953;9729;6603103
1900104000;767;Songedalsåi;65.516;65.52;18.61;20.98;14.72;555;633;690;736;759;777;800;829;861;903;1175;11.91;15.69;0.12;8.44;0;1.23;72.21;0;3.72;12.27;0;59.29985428;7.985102177;100967;6594486
