"Mean annual flood (m3/s)";"Median annual flood (m3/s)";"Mean annual flood (l/s/km2)";"Median annual flood (l/s/km2)";"Rain contribution";"Number of floods";"Recession time (days)";"Area (km2)";"GRAD_1085";"GRAD_FELT";"GRAD_ELV";"HEIGHT_MIN";"HEIGHT_10";"HEIGHT_20";"HEIGHT_30";"HEIGHT_40";"HEIGHT_50";"HEIGHT_60";"HEIGHT_70";"HEIGHT_80";"HEIGHT_90";"HEIGHT_MAX";"FELT_LE_KM";"ELV_LE_KM";"JORDBRUKPR";"MYRPRO";"EFF_MYR";"EFF_SJO";"SKOGPRO";"BREPRO";"SJOPRO";"SNAUFJPRO";"URBANPRO";"Temp Jan (oC)";"Temp Feb (oC)";"Temp Mar (oC)";"Temp Apr (oC)";"Temp Mai (oC)";"Temp Jun (oC)";"Temp Jul (oC)";"Temp Aug (oC)";"Temp Sep (oC)";"Temp Oct (oC)";"Temp Nov (oC)";"Temp Dec (oC)";"Temp annual (oC)";"Prec Jan (mm)";"Prec Feb (mm)";"Prec Mar (mm)";"Prec Apr (mm)";"Prec Mai (mm)";"Prec Jun (mm)";"Prec Jul (mm)";"Prec Aug (mm)";"Prec Sep (mm)";"Prec Oct (mm)";"Prec Nov (mm)";"Prec Dec (mm)";"Prec annual (mm)"
"190.2";29.4612830769231;27.912407;559.143728922435;529.747713038527;0.5397;13;6;52.69;14.83;54.23;28.75;194;258;282;328;375;438;511;596;697;800;1328;8.62;13.22;0.83;6.71;0;1.27;37.88;0;5.82;41.9;0;-8.70942658175752;-8.61995380097681;-6.48662783370413;-2.4456907810345;2.72990904783091;7.57248705689654;10.7197779638487;9.84385919187986;5.48629703965516;0.59183406952168;-3.80354856666668;-6.86949988820913;0.000784743107006538;87.2658890172414;79.024937128205;68.140094586207;50.6710955172414;48.2916834655173;54.9514195344828;76.1871873793102;78.8646382586206;106.611697068965;120.822312293103;84.6016227413793;92.4329954999998;947.865572490274
"162.1";18.2033641212121;15.699952;364.577691191911;314.43925495694;-1;33;7;49.93;24.9;0;32.35;41;320;388;398;400;422;450;492;564;655;1113;12.62;17.99;0.04;4.23;0;9.11;48.67;0.28;16.76;25.96;0;-6.78543062347053;-6.64241031257632;-4.85721487875418;-1.23516140517242;3.76492911234704;8.06593787528734;10.9156923848721;10.3287423370411;6.25452800919539;1.84518731312568;-2.55248105459771;-5.36870991045607;1.14446740390345;121.360308431035;100.224440786325;91.3807778620691;64.731584586207;60.1371973103447;63.9791270689656;84.2096479310344;84.3746516896551;134.616617534483;153.083492241379;125.281328068966;132.899743293104;1216.27891680357
"194.1";49.2006498333333;47.2020835;379.400445969566;363.988922732881;-1;6;7;129.68;13.12;30.45;14.43;22;62;140;207;237;292;344;407;493;608;971;13.25;18.8;0.22;7.44;0;4.32;34.11;0;11;43.83;0;-5.86615025139044;-5.95517806166057;-4.56762559788655;-1.21873694770116;3.41452887819799;7.71849038448275;10.7402351190211;10.1034130478309;6.235644895977;1.76332608509454;-2.05115864080461;-4.670044769188;1.30389534516441;104.322795534483;93.7147646495726;83.2966440862069;63.7966174482759;49.1039612758621;51.7226375000001;66.5841010689656;75.6707553103449;109.85877837931;135.461095224138;106.361370982759;110.589642189655;1050.48316364957
"156.13";160.187281421053;151.580795;523.316829209581;495.200245017968;0.425628571428571;38;5;306.1;22.83;0;25.36;73;441;644;741;838;924;998;1069;1145;1221;1565;35.84;40.99;0;0.11;0;0.13;7.61;20.39;1.39;65.9;0;-9.23292858120135;-9.16214995909647;-7.37512056618466;-3.83857588448277;1.09131454616239;5.67264632758619;8.77986048331478;8.3335789849833;4.17511815919539;-0.416673507230267;-4.88842785057472;-7.73135373748611;-1.21605929875119;145.438220775862;127.507984820513;119.427331275862;78.2535956551725;64.4189029827585;70.4985651724137;94.572930275862;96.4354243448276;152.533785310345;174.425776724138;136.898627758621;160.849744724138;1421.26088982051
"15.18";627.288741138889;640.576233;113.32126715772;115.721685523775;-1;36;10;5535.49;4.3;17.07;3.86;7;191;378;525;726;871;1018;1136;1206;1255;1537;210.92;365.8;3.2;4.99;0;0.43;49.66;0;6.64;31.86;0.22;-7.7095103259177;-7.62968567460319;-5.03512128197999;-0.706243696551735;4.89711559677418;9.57289046206895;11.6822864265851;10.6110285884316;6.42419616896551;1.87346009454949;-3.05254576494254;-6.48405110622916;1.20365162392921;62.983424637931;41.077240837607;45.184639637931;40.9431137413794;57.9575653965516;70.3737035344827;87.7757742931034;91.2246483965517;83.4742810689654;92.2306759137932;80.4995304310344;62.5228847758621;816.247482665193
"122.13";37.9124294705882;41.173866;339.412976460056;368.61115487914;0.330647058823529;17;5;111.7;18.16;0;16.96;439;541;606;626;653;694;749;823;916;983;1233;23.09;31.28;3.19;17.7;0;0.01;49.81;0;0.62;26.74;0.02;-7.34484561735263;-7.12684663980465;-4.86545110344829;-0.965071954597712;4.46729098109009;8.53868178045976;10.6485293932147;9.98912055172413;5.94253857643677;1.60892533259176;-3.1502464586207;-6.0919119371524;0.970892742045069;55.601227275862;51.0066217777777;51.222444586207;41.2721028275862;43.7073004310343;79.0609973448276;91.4463339655173;87.6699749655172;79.9958528620689;62.7640263103447;55.9674587413794;62.1511804655171;761.865521553639
"48.2";9.039456;8.5389725;840.098141263941;793.584804832714;0.794728571428571;14;5;10.76;144.5;45;191.54;660;768;968;1080;1192;1306;1424;1504;1564;1606;1641;3.49;2.66;0;0;0;2.58;0.65;49.19;2.8;46.36;0;-7.66636666073416;-8.14209123748475;-6.96564869521692;-4.04407523793105;0.411123479977741;4.5449216321839;7.20790777753058;7.15158762347051;3.88358411609194;0.134133894883192;-3.95071054425288;-6.60267974527254;-1.1698594663962;210.674921655172;157.420512888889;162.594514362069;95.0909092241379;92.1109719310345;106.901410517241;118.331504603448;146.101097241379;207.547962482758;236.453605258621;225.184012517241;235.758777448276;1994.17020013027
"212.11";805.384928333333;793.199524;130.283239239919;128.312065094309;0.146666666666667;15;28;6181.8;1.06;14.93;2.24;0;368;389;412;433;449;469;492;522;585;1085;133.09;211.67;0.06;16.08;0;0.39;35.29;0;7.23;32.22;0.01;-14.8973101929922;-14.5997716068376;-11.1195198103448;-5.51599156379311;1.48825435706339;8.17713833793102;11.5152151284761;9.49179793548386;4.15201521954022;-2.42782194215796;-8.92758299885059;-13.0596764176863;-2.97693779618066;22.8968175172414;19.6517787863248;19.2553970517241;18.1161369310345;27.0909042931034;45.615586224138;67.9768137758621;61.7789298448277;41.8181232758622;37.5032829137932;26.5057548275862;23.3775073965517;411.587032838049
"76.14";62.9171735;62.9171735;343.884857345868;343.884857345868;0.61725;2;6;182.96;42.51;36.15;32.86;504;886;1197;1263;1338;1425;1480;1531;1583;1671;2081;17.34;23.37;0;0.02;0;1.75;3.66;36.92;7.28;49.97;0.06;-8.84977571579534;-8.99972660805862;-7.51760290044495;-4.38803941091955;0.50326389766406;4.50424038103447;7.05159083147941;6.70082882369298;2.85061907471263;-1.05970857063405;-5.38523520057472;-7.934183512792;-1.87697740921964;118.584529568965;91.6172611965811;88.5593326724139;51.1511710344828;50.2654327931035;60.4404608103447;73.7781297758621;85.691969724138;115.216304189655;122.380547189655;117.187275327586;127.976461534483;1102.84887581727
"193.2";29.2494073333333;29.5930635;308.180458680153;311.801322305342;0.205713333333333;30;13;94.91;19.27;31.22;22.73;180;193;260;336;413;476;543;609;689;834;1212;11.86;17.3;1.04;3.35;0;3.58;29.67;0.22;7.35;53.78;0;-8.7345626368187;-8.65113918253969;-6.74310108954395;-2.70302335747128;2.46716445161289;7.28801848103447;10.484667958287;9.5896279660734;5.23325568965516;0.25115672413792;-4.22195768965518;-7.27640464238043;-0.251358110634033;90.599083;79.3676122222222;67.0823366551724;50.137857413793;41.790608913793;49.3907557586208;67.7923697586207;72.0119589827588;95.5167094655172;114.916764551724;84.7689103448277;92.0547509310345;905.429717998085
