"regine" "main" "date" "FGP" "flood.1" "threshold"
2 1 "1990-04-27" 0.2433 6.284447 5.67756
2 1 "1990-09-20" 1 5.787579 5.67756
2 1 "1991-04-14" 0.2121 6.284447 5.67756
2 1 "1991-06-20" 1 5.950392 5.67756
2 1 "1992-05-04" 0.4684 11.547069 5.67756
2 1 "1993-05-04" 0.1107 13.134673 5.67756
2 1 "1993-10-08" 1 5.950392 5.67756
2 1 "1994-05-10" 0.0198 9.190115 5.67756
2 1 "1995-05-07" 9e-04 7.550869 5.67756
2 1 "1995-05-27" 0.2567 7.940846 5.67756
2 1 "1995-06-09" 1 6.284447 5.67756
2 1 "1996-10-19" 1 5.705818 5.67756
2 1 "1997-05-08" 0.4759 16.40497 5.67756
2 1 "1998-04-29" 0.4746 12.402596 5.67756
2 1 "1998-10-24" 0.6903 6.942304 5.67756
2 1 "2000-05-02" 0.3166 10.361597 5.67756
2 1 "2000-10-13" 1 6.589247 5.67756
2 1 "2000-11-09" 0.6676 5.875567 5.67756
2 1 "2001-05-03" 0.3335 6.425123 5.67756
2 1 "2001-05-10" 0.194 6.603717 5.67756
2 1 "2002-04-24" 0.031 7.97236 5.67756
2 1 "2002-05-02" 0.3688 7.411185 5.67756
2 1 "2002-07-11" 1 6.74467 5.67756
2 1 "2003-05-07" 0.2324 7.631213 5.67756
2 1 "2004-04-27" 0.2807 8.931619 5.67756
2 1 "2004-09-21" 1 7.381752 5.67756
2 1 "2005-11-04" 0.6356 8.255469 5.67756
2 1 "2006-05-06" 0.2764 9.590154 5.67756
2 1 "2006-09-04" 1 10.382213 5.67756
2 1 "2006-10-20" 0.9257 6.005359 5.67756
2 1 "2006-11-18" 0.4189 8.764642 5.67756
2 1 "2006-12-12" 0.5274 5.749945 5.67756
2 1 "2007-04-26" 0.1522 8.92697 5.67756
2 1 "2008-05-03" 0.1586 10.732836 5.67756
2 1 "2008-05-24" 0.9645 7.512885 5.67756
2 1 "2009-04-28" 0.104 8.82314 5.67756
2 1 "2009-11-24" 0.6839 8.644526 5.67756
2 1 "2010-05-01" 0.0759 5.692773 5.67756
2 1 "2010-05-16" 0.3051 6.420375 5.67756
2 1 "2010-06-13" 1 7.379414 5.67756
2 1 "2010-08-29" 1 7.106422 5.67756
2 1 "2010-09-25" 1 7.642576 5.67756
2 1 "2011-09-06" 1 7.117255 5.67756
2 1 "2012-04-28" 0.395 7.44154 5.67756
2 1 "2012-05-11" 0.7629 8.2391 5.67756
2 1 "2012-11-12" 0.7552 8.658179 5.67756
2 1 "2012-11-22" 0.4556 7.251006 5.67756
2 1 "2013-04-19" 0.4283 8.873301 5.67756
2 1 "2013-05-07" 0.3943 6.173909 5.67756
2 1 "2014-04-29" 0.0386 5.839919 5.67756
2 1 "2014-05-18" 0.4355 7.833827 5.67756
2 1 "2014-05-25" 1 11.478114 5.67756
2 1 "2014-10-25" 0.9501 11.736958 5.67756
2 1 "2015-05-07" 0.9191 9.768884 5.67756
2 1 "2015-09-18" 1 12.538556 5.67756
2 15 "1918-07-12" NA 36.523983 29.208128
2 15 "1920-06-22" NA 51.862419 29.208128
2 15 "1921-10-08" NA 37.756413 29.208128
2 15 "1923-07-11" NA 60.236214 29.208128
2 15 "1924-06-23" NA 44.391506 29.208128
2 15 "1926-06-10" NA 53.462761 29.208128
2 15 "1926-07-16" NA 30.807039 29.208128
2 15 "1927-07-09" NA 50.298191 29.208128
2 15 "1928-07-18" NA 39.019688 29.208128
2 15 "1929-06-16" NA 31.892712 29.208128
2 15 "1930-05-28" NA 30.807039 29.208128
2 15 "1931-05-27" NA 29.749254 29.208128
2 15 "1931-07-05" NA 41.640846 29.208128
2 15 "1932-06-02" NA 30.807039 29.208128
2 15 "1932-06-20" NA 29.749254 29.208128
2 15 "1932-07-07" NA 67.631989 29.208128
2 15 "1933-05-30" NA 39.019688 29.208128
2 15 "1934-05-11" NA 41.640846 29.208128
