regine_area;main_nr;value_q_daily;dt_flood_daily_date;value_q_culm;dt_flood_culm_time;start_findata;unreg_start;unreg_end;fraction_rain;nve
2;1;6.284447;27.04.1990;-9999;27.04.1990 12:00;1996;-99;-99;0.242876125793592;02.jan
2;1;6.284447;14.04.1991;-9999;14.04.1991 12:00;1996;-99;-99;0.341014332965821;02.jan
2;1;11.547069;04.05.1992;-9999;04.05.1992 12:00;1996;-99;-99;0.47918742389018;02.jan
2;1;13.134673;04.05.1993;-9999;04.05.1993 12:00;1996;-99;-99;0.11939563954919;02.jan
2;1;9.190115;10.05.1994;-9999;10.05.1994 12:00;1996;-99;-99;0.000160668380462725;02.jan
2;1;7.940846;27.05.1995;-9999;27.05.1995 12:00;1996;-99;-99;0.251778568252557;02.jan
2;1;5.705818;19.10.1996;7.747026;19.10.1996 11:59;1996;-99;-99;1;02.jan
2;1;16.40497;08.05.1997;16.40497;08.05.1997 12:00;1996;-99;-99;0.580711620914305;02.jan
2;1;12.402596;29.04.1998;13.409075;29.04.1998 09:00;1996;-99;-99;0.478034339846063;02.jan
2;1;5.226975;28.04.1999;5.620767;29.04.1999 01:00;1996;-99;-99;0.00279394644935972;02.jan
2;1;10.361597;02.05.2000;12.061851;02.05.2000 04:00;1996;-99;-99;0.333695389814144;02.jan
2;1;6.603717;10.05.2001;7.550856;10.05.2001 01:00;1996;-99;-99;0.0101551480959097;02.jan
2;1;7.97236;24.04.2002;9.19035;-99;1996;-99;-99;0.0331371545547595;02.jan
2;1;6.261631;01.05.2002;9.633746;01.05.2002 21:00;1996;-99;-99;0.315739804516346;02.jan
2;1;7.631213;07.05.2003;7.360543;07.05.2003 03:00;1996;-99;-99;0.293128737447817;02.jan
2;1;8.931619;27.04.2004;8.550522;27.04.2004 03:00;1996;-99;-99;0.317080045095829;02.jan
2;1;8.255469;04.11.2005;9.633615;04.11.2005 18:00;1996;-99;-99;0.635598439745432;02.jan
2;1;10.382213;04.09.2006;11.047741;04.09.2006 07:00;1996;-99;-99;1;02.jan
2;1;8.92697;26.04.2007;8.344164;26.04.2007 20:00;1996;-99;-99;0.195478543387031;02.jan
2;1;10.732836;03.05.2008;9.782991;-99;1996;-99;-99;0.169055036344756;02.jan
2;1;10.409417;30.04.2008;10.009908;30.04.2008 04:00;1996;-99;-99;0.0596295001747641;02.jan
2;1;8.82314;28.04.2009;8.078387;-99;1996;-99;-99;0.104559681922003;02.jan
2;1;8.644526;24.11.2009;8.482386;24.11.2009 11:00;1996;-99;-99;0.686007348438457;02.jan
2;1;7.642576;25.09.2010;7.518123;-99;1996;-99;-99;1;02.jan
2;1;6.840834;12.06.2010;9.814323;12.06.2010 20:00;1996;-99;-99;1;02.jan
2;1;7.117255;06.09.2011;7.394494;06.09.2011 01:00;1996;-99;-99;1;02.jan
2;1;8.658179;12.11.2012;-99;-99;1996;-99;-99;0.882425742574257;02.jan
2;1;aug.91;11.05.2012;7.683975;11.05.2012 07:00;1996;-99;-99;0.81380477712996;02.jan
2;1;-99;-99;8.344426;19.04.2013 05:00;1996;-99;-99;0.429650806616296;02.jan
2;1;-99;-99;13.979422;25.05.2014 22:00;1996;-99;-99;1;02.jan
2;15;36.523983;12.07.1918;-9999;-99;-99;1917;1943;-99;feb.15
2;15;22.234211;07.10.1919;-9999;-99;-99;1917;1943;-99;feb.15
2;15;51.862419;22.06.1920;-9999;-99;-99;1917;1943;-99;feb.15
2;15;37.756413;08.10.1921;-9999;-99;-99;1917;1943;-99;feb.15
2;15;26.73844;10.07.1922;-9999;-99;-99;1917;1943;-99;feb.15
