"regine";"main";"daily_ams_dates";"daily_ams";"fine_ams_times";"fine_ams"
2;1;1990-04-27;6.284447;NA;NA
2;1;1991-04-14;6.284447;NA;NA
2;1;1992-05-04;11.547069;NA;NA
2;1;1993-05-04;13.134673;NA;NA
2;1;1994-05-10;9.190115;NA;NA
2;1;1995-05-27;7.940846;NA;NA
2;1;1996-10-19;5.705818;NA;NA
2;1;1997-05-08;16.40497;NA;NA
2;1;1998-04-29;12.402596;1998-04-29 09:00:00;13.409075
2;1;1999-04-28;5.226975;1999-04-29 01:00:00;5.620767
2;1;2000-05-02;10.361597;2000-05-02 04:00:00;12.061851
2;1;2001-05-10;6.603717;2001-05-10 01:00:00;7.550856
2;1;2002-04-24;7.97236;2002-04-24 01:00:00;9.19035
2;1;2002-05-02;7.411185;2002-05-01 21:00:00;9.633746
2;1;2003-05-07;7.631213;2003-05-07 03:00:00;8.729534
2;1;2004-04-27;8.931619;2004-04-27 03:00:00;10.001937
2;1;2005-11-04;8.255469;2005-11-04 18:00:00;11.306133
2;1;2006-09-04;10.382213;2006-09-04 07:00:00;12.745007
2;1;2007-04-26;8.92697;2007-04-27 00:00:00;9.769419
2;1;2008-04-30;10.409417;2008-04-30 04:00:00;11.650416
2;1;2008-05-03;10.732836;2008-05-03 02:00:00;11.393455
2;1;2009-04-28;8.82314;2009-04-28 02:00:00;9.468553
2;1;2009-11-24;8.644526;2009-11-24 11:00:00;9.929883
2;1;2010-06-13;7.379414;2010-06-12 20:00:00;11.681278
2;1;2010-09-25;7.642576;2010-09-25 08:00:00;8.827182
2;1;2011-09-06;7.117255;2011-09-06 01:00:00;8.720401
2;1;2012-05-11;8.2391;2012-05-11 07:00:00;9.023923
2;1;2012-11-12;8.658179;NA;NA
2;1;2013-04-19;8.873301;2013-04-19 05:00:00;9.778746
2;1;2014-05-25;11.478114;2014-05-25 20:00:00;16.414686
2;1;2014-10-25;11.736958;2014-10-24 20:00:00;14.825444
2;1;2015-09-18;12.538556;2015-09-18 12:00:00;14.316595
2;15;1918-07-12;36.523983;NA;NA
2;15;1919-10-07;22.234211;NA;NA
2;15;1920-06-22;51.862419;NA;NA
2;15;1921-10-08;37.756413;NA;NA
2;15;1922-07-10;26.73844;NA;NA
2;15;1923-07-11;60.236214;NA;NA
2;15;1924-06-23;44.391506;NA;NA
2;15;1925-07-07;28.718874;NA;NA
2;15;1926-06-10;53.462761;NA;NA
2;15;1927-07-09;50.298191;NA;NA
2;15;1928-07-18;39.019688;NA;NA
2;15;1929-06-16;31.892712;NA;NA
2;15;1930-05-28;30.807039;NA;NA
2;15;1931-07-05;41.640846;NA;NA
2;15;1932-07-07;67.631989;NA;NA
2;15;1933-05-30;39.019688;NA;NA
2;15;1934-05-11;41.640846;NA;NA
2;15;1935-06-26;48.732296;NA;NA
2;15;1936-06-13;32.758266;NA;NA
2;15;1937-05-23;38.003609;NA;NA
2;15;1938-06-10;38.003609;NA;NA
2;15;1939-06-20;40.859619;NA;NA
2;15;1940-05-28;35.30526;NA;NA
2;15;1941-05-30;29.208128;NA;NA
2;15;1942-11-28;34.013233;NA;NA
2;15;1943-03-03;34.013233;NA;NA
2;11;1931-05-17;26.782251;NA;NA
2;11;1932-05-19;38.28981;NA;NA
2;11;1933-05-21;12.926161;NA;NA
2;11;1934-05-06;67.440529;NA;NA
2;11;1935-06-17;21.61853;NA;NA
2;11;1936-05-18;22.243795;NA;NA
2;11;1937-05-06;15.94155;NA;NA
2;11;1938-05-17;29.467157;NA;NA
2;11;1939-05-26;21.309895;NA;NA
2;11;1940-08-24;24.184101;NA;NA
2;11;1941-05-25;24.184101;NA;NA
2;11;1942-05-29;16.727625;NA;NA
2;11;1943-05-15;16.727625;NA;NA
2;11;1944-06-10;33.341618;NA;NA
2;11;1945-05-15;29.841743;NA;NA
2;11;1946-05-03;14.298803;NA;NA
2;11;1947-05-14;43.365311;NA;NA
2;11;1948-05-11;20.700584;NA;NA
2;11;1949-05-06;21.003916;NA;NA
2;11;1950-07-28;33.744907;NA;NA
2;11;1951-08-11;18.088472;NA;NA
2;11;1952-06-20;29.467157;NA;NA
2;11;1953-05-17;28.360346;NA;NA
2;11;1954-05-14;16.463079;NA;NA
2;11;1955-06-06;22.56044;NA;NA
2;11;1956-06-14;14.840838;NA;NA
2;11;1957-05-17;27.997042;NA;NA
2;11;1958-05-27;55.549866;NA;NA
2;11;1959-04-30;24.184101;NA;NA
2;11;1960-05-29;21.309895;NA;NA
2;11;1961-06-02;19.223366;NA;NA
2;11;1962-06-08;17.536478;NA;NA
2;11;1963-05-12;23.52652;NA;NA
2;11;1964-08-31;10.378406;NA;NA
2;11;1965-06-07;20.700584;NA;NA
2;11;1966-05-19;48.725906;NA;NA
2;11;1967-05-26;41.051479;NA;NA
2;11;1968-06-02;18.93576;NA;NA
2;11;1969-05-25;15.116281;NA;NA
2;11;1970-05-18;16.201057;NA;NA
2;11;1971-05-08;22.56044;NA;NA
2;11;1972-05-10;14.246592;NA;NA
2;11;1973-06-02;24.049143;NA;NA
2;11;1975-05-12;28.04052;NA;NA
2;11;1976-05-14;17.571106;NA;NA
2;11;1977-05-25;23.102079;NA;NA
2;11;1978-05-24;35.814919;NA;NA
2;11;1979-05-26;26.337837;NA;NA
2;11;1980-05-31;11.504513;NA;NA
2;11;1981-05-13;25.67263;NA;NA
2;11;1982-05-31;23.102079;NA;NA
2;11;1983-05-20;26.004103;NA;NA
2;11;1984-05-28;16.770987;NA;NA
2;11;1985-05-28;39.043621;NA;NA
2;11;1986-05-06;26.004103;NA;NA
2;11;1987-05-02;26.337837;1987-05-02 21:44:00;27.158598
2;11;1988-05-29;24.049143;1988-05-29 04:41:00;25.560104
2;11;1989-08-02;29.729725;1989-08-01 21:04:00;36.643185
2;11;1990-05-04;22.30748;1990-05-04 05:39:00;22.716284
2;11;1991-06-20;14.272133;1991-06-20 19:22:00;15.557174
2;11;1992-05-16;24.764153;1992-05-16 22:20:00;28.143204
2;11;1993-05-01;28.699007;NA;NA
2;11;1994-06-07;13.340149;1994-06-06 22:10:00;13.820829
2;11;1995-06-02;39.532528;1995-06-02 08:15:00;40.666977
2;11;1996-05-15;14.565022;1996-05-14 22:36:00;16.353268
2;11;1997-05-18;18.044592;1997-05-17 03:18:00;18.440495
2;11;1998-05-17;17.003613;1998-05-17 08:17:00;17.485237
2;11;1999-06-06;14.738955;1999-06-06 22:29:00;15.40364
2;11;2000-05-02;24.750875;2000-05-02 19:47:00;25.65085
2;11;2001-05-20;17.239193;2001-05-20 11:00:00;17.528397
2;11;2002-05-13;18.566784;2002-05-13 14:00:00;19.421843
2;11;2003-08-15;13.898293;2003-08-15 09:00:00;14.518871
2;11;2004-05-07;17.879475;2004-05-07 09:00:00;18.624992
2;11;2005-05-25;23.581665;2005-05-25 07:00:00;24.794409
2;11;2006-05-09;20.94322;2006-05-09 03:00:00;21.743324
2;11;2007-05-21;11.875578;2007-05-22 00:00:00;12.025809
2;11;2008-05-05;20.10145;2008-05-05 10:00:00;20.296227
2;11;2009-05-02;21.849771;2009-05-02 22:00:00;22.211151
2;11;2010-05-21;28.66341;2010-05-21 09:00:00;29.417625
2;11;2011-08-17;21.169767;2011-08-16 17:00:00;26.075754
2;11;2012-05-24;28.224941;2012-05-24 10:00:00;31.623602
2;11;2013-05-23;23.796129;2013-05-23 09:00:00;24.861475
2;11;2014-05-24;32.461075;2014-05-24 04:00:00;32.804268
2;11;2014-05-26;31.918615;2014-05-26 16:00:00;34.798641
2;11;2015-06-08;15.781325;2015-06-08 01:00:00;16.800079
2;13;1982-06-07;70.395439;NA;NA
2;13;1983-06-23;96.198425;NA;NA
2;13;1984-06-03;155.871368;NA;NA
2;13;1985-07-21;99.859894;NA;NA
2;13;1986-06-21;98.016701;1986-06-20 22:42:00;102.413918
2;13;1987-07-09;81.50708;1987-07-09 17:31:00;82.959175
2;13;1988-09-04;101.768204;1988-09-04 21:40:00;108.331772
2;13;1989-06-30;115.652695;1989-06-29 22:11:00;123.069748
2;13;1990-06-24;128.872589;1990-06-24 06:11:00;130.789627
